ORCL,2011-02-01,00:00:00,30.94,32.15,30.88,31.97,32573400
ORCL,2011-02-02,00:00:00,31.82,32.27,31.74,31.87,19358200
ORCL,2011-02-03,00:00:00,31.72,31.89,31.47,31.73,17600900
ORCL,2011-02-04,00:00:00,31.66,31.72,31.28,31.37,38691800
ORCL,2011-02-07,00:00:00,31.45,32.02,31.31,31.72,22785100
ORCL,2011-02-08,00:00:00,31.76,31.90,31.47,31.77,15418400
ORCL,2011-02-09,00:00:00,31.77,31.83,31.36,31.63,17112700
ORCL,2011-02-10,00:00:00,31.53,31.99,31.41,31.99,17237600
ORCL,2011-02-11,00:00:00,31.81,32.31,31.77,32.19,17402300
ORCL,2011-02-14,00:00:00,32.02,32.26,31.97,32.02,16438000
ORCL,2011-02-15,00:00:00,31.86,31.89,31.37,31.51,19332100
ORCL,2011-02-16,00:00:00,31.59,31.87,31.36,31.84,15829000
ORCL,2011-02-17,00:00:00,31.71,31.93,31.51,31.75,14568900
ORCL,2011-02-18,00:00:00,31.76,32.42,31.65,32.39,25539900
ORCL,2011-02-22,00:00:00,32.02,32.38,31.28,31.29,24887800
ORCL,2011-02-23,00:00:00,31.31,31.40,30.80,30.95,22154100
ORCL,2011-02-24,00:00:00,30.88,31.17,30.43,31.02,23416200
ORCL,2011-02-25,00:00:00,31.06,31.82,31.04,31.69,20850400
ORCL,2011-02-28,00:00:00,31.79,31.96,31.43,31.64,19406700
